text,label
Cepat sampaiiiiiiiiiiiiiiiiiiiiiiiiii,Pengiriman
Fast response recommended seller,Layanan Pelanggan
Barang bagus tapi analog kiri sama kanan kalo di setting jadi sama terus selain itu bagus,Produk
keren gan Produknya buat main games,Produk
mantap gan!!!!!.Barang bagus juga ,Produk
Sialan cepat banget responnya Cuman sejaman paket sudah di tangan Recommended seller deh pokoknyaa,Layanan Pelanggan
ggwp 1 hari sampai mantap jiwa,Pengiriman
Bagus sesuai dengan pesanan!,Layanan Pelanggan
Kirain bisa make stik ini buat gta v,Produk
Barangnya berfungsi dengan baik mantap apalagi harganya untuk kurir gosend terlalu lama sampai 2 hari bintang 3 untuk kurir,Produk
Fast response fast delivery good product thanks seller dan tokopedia,Layanan Pelanggan
Barang bagus dan murah rekomen,Produk
belum dicoba semoga awet. thanks,Produk
mantaaaaaaptop markotop lah,Layanan Pelanggan
terima kasih barang telah tiba,Layanan Pelanggan
Barang oke tapi belum di test. thanks seller,Produk
Barang bagus berfungsi baik. Tombol d-pad cukup nyaman dipakai tombol L2 &  R2 agak sulit ditekan analog berfungsi baik tapi tipis &  keras jika dipakai lama membuat jari sedikit sakit. Overall ok Pengiriman cepat.,Produk
barang sudah diterima dengan baik fast response packing rapi sesuai dengan gambar dan spec very recommended seller!!!,Layanan Pelanggan
pesanan seusuai dengan deskripsi,Layanan Pelanggan
Respond dan Pengiriman bagus dan cepat sudah saya coba joysticknya bagus masih baru cuman gak enaknya tombol bagian L2 dan R2 nya keq agak mendem jadi gak terlalu enak dipakai kalo make tombol itu but overall nice la,Produk
Sangat puasssssssssssss,Layanan Pelanggan
mantappppppppppppppppppppppp,Layanan Pelanggan
barangnya sesuai orangnya ramah. recommended seller,Layanan Pelanggan
sudah saya terima gan terima kasih ya,Layanan Pelanggan
barang cepat sampee sesuai dengan deskripsi,Pengiriman
bagußssssssssssssssssssssssssssssssssssssssss,Produk
Fast respon &  delivery. Belum dicoba sticknya karena msih kerja,Layanan Pelanggan
Kualitas Produk yang disarankan oleh seller terbaik!! Tombol responsif dan kualitas terbaik! Packaging juga aman dan rapi! Recommended seller!,Layanan Pelanggan
mantap lancar gak ada masalah,Pengiriman
barang sesuai pesanan datang tepat waktu kualitas oke,Layanan Pelanggan
sudah dterima kasiha dan fungsi dengan baik ,Produk
Bekerja dengan baik thanks.,Produk
Recommended lah tapi saran dikasih bubble wrap ya gan biar lebih aman Produknyaa,Layanan Pelanggan
Barang sesuai pesanan Pengiriman cepat respon seller mantap. Recommended Seller ,Layanan Pelanggan
Cepat. mantaphhh ,Pengiriman
barang sudah sampai sudah dicoba lancar jaya gak ada masalah mantap,Produk
Kualitas sesuai deskripsi  ,Produk
mantap langsung bisa maninan PES,Produk
Luar biasa cepat 👍🏻👍🏻👍🏻belum ditest semoga gak ada problem,Pengiriman
Kualitas baik langsung bisa dipakai dikomputer,Produk
barang sesuai deskripsi belum dicoba sih tapi mudah mudahan bisa. thanks,Produk
Framenya clunky. Tombol mappingnya gabener o jadi segitigakdll Yah budenganet gaming boz.,Produk
Barang sampai dengan cepat sesuai pesanan dan lancar dipakai packangingnya biasa aja sih tapi mulus terima kasih gan!,Produk
Pelayanan ok barang ok berfungsi baik thanks,Layanan Pelanggan
barang sesuai pesanan respon cepat pengirman aman.,Layanan Pelanggan
sudah dipakai lancar jaya. mantap.,Produk
Fast respon cepat banget,Layanan Pelanggan
Bisa dipakai tapi key nya kacau kayak analogny kalo mau maju kedepan analog kananny dikekiriin,Produk
mantap lah lumayan nuhun,Produk
Biar bintang bicara 👍. Barang mantap,Produk
Barang sesuai pesanan fast response,Layanan Pelanggan
Fast delivery price to qualithanks very oke  ,Pengiriman
Tombolnya nyaman dipencet dan mudah digunakan,Produk
packing sangat rapi mantap,Layanan Pelanggan
Favorite. matur nuwun ,Produk
Pengiriman sesuai apa yang diminta pesen siang sore langsung sampai best seller ever 👍,Layanan Pelanggan
Sangat cepat dan sesuai dengan gambar.,Layanan Pelanggan
Barang bagus dan barang cepat sampai,Produk
"Semua tombol berfungsi dengan baik 
Tapi jugan berharap lebih.
Ada harga ada rupa xixixixi",Produk
Sesuai dengan Produk yang di tampilkan,Produk
Periguuuuuuddddddd alus pisan nuhun,Produk
Good___________________,Produk
thanks gan fast respon barang bagus mantap lah,Layanan Pelanggan
mantap jiwaaaaa bosqqqqqq,Produk
BINTANG yang BERBICARA 😁👍🏽,Layanan Pelanggan
Joystick sudah sampai kualitasnya oke banget,Produk
barang sampai semoga jalan,Pengiriman
Barang masih berfungsi &  bagus tapi Pengiriman agak lama.,Produk
Barang bagus cuman gak sesuai barang,Produk
Ramah dan cepat banget bales chat dll barang sampai dengan selamt tapi sayang gan mereknya gak sesuai dikasinya nisuta yang di cantumkan m-tech td dicoba lancar aja sih semoga kedepannya di beritahukan dlu gan / cantumkan di deskripsi.,Layanan Pelanggan
Barang cepat sampai kurang hanya tombol start ketika dipencet kadang suka gak balik lagi harus di congakel lagi pakai jari,Produk
Gooooooooooooooddddddddd,Produk
Selama beli barang di tokopedia baru ini Pengiriman yang super cepat haha. Gak sampai sejam dari pemesanan langsung datang. Thanks gan sukses terus,Pengiriman
Stick lancar gada kendala mantap,Produk
Barangnya mantub gan!!,Produk
Murah barang cepat sampai,Pengiriman
ntap soul Recommended seller,Layanan Pelanggan
